date,product_id,brand,product,volume,type,current_price,original_price,discount,sold_quantity,sold_out,url,market_id
23-02-2024,BP_464081,舞鶴,舞鶴 好天好飲酒—桃味燒酒,360ML,韓國酒,19.90,19.90,$34 / 2件,None,0,https://www.pns.hk/zh-hk/%E5%A5%BD%E5%A4%A9%E5%A5%BD%E9%A3%B2%E9%85%92%E2%80%94%E6%A1%83%E5%91%B3%E7%87%92%E9%85%92/p/BP_464081,parknshop
23-02-2024,BP_406416,舞鶴,舞鶴 好天好飲酒—蘋果味燒酒,360ML,韓國酒,19.90,19.90,$34 / 2件,None,0,https://www.pns.hk/zh-hk/%E5%A5%BD%E5%A4%A9%E5%A5%BD%E9%A3%B2%E9%85%92%E2%80%94%E8%98%8B%E6%9E%9C%E5%91%B3%E7%87%92%E9%85%92/p/BP_406416,parknshop
23-02-2024,BP_472727,舞鶴,舞鶴 好天好飲酒—菠蘿味燒酒,360ML,韓國酒,19.90,19.90,$34 / 2件,None,0,https://www.pns.hk/zh-hk/%E5%A5%BD%E5%A4%A9%E5%A5%BD%E9%A3%B2%E9%85%92%E2%80%94%E8%8F%A0%E8%98%BF%E5%91%B3%E7%87%92%E9%85%92/p/BP_472727,parknshop
23-02-2024,BP_450120,CH FERRANDE,CH FERRANDE 斐蘭德酒莊 紅酒,75CL,紅酒,199,199,None,None,0,https://www.pns.hk/zh-hk/%E6%96%90%E8%98%AD%E5%BE%B7%E9%85%92%E8%8E%8A%20%20%E7%B4%85%E9%85%92/p/BP_450120,parknshop
23-02-2024,BP_325236,巴比斯,巴比斯 釀酒師精選蘇維翁白酒,75CL,白酒,139,139,None,None,0,https://www.pns.hk/zh-hk/%E9%87%80%E9%85%92%E5%B8%AB%E7%B2%BE%E9%81%B8%E8%98%87%E7%B6%AD%E7%BF%81%E7%99%BD%E9%85%92/p/BP_325236,parknshop
23-02-2024,BP_107888,HITE,HITE ＴＥＲＲＡ啤酒,500MLX6,啤酒,45,45,送贈品,None,0,https://www.pns.hk/zh-hk/%EF%BC%B4%EF%BC%A5%EF%BC%B2%EF%BC%B2%EF%BC%A1%E5%95%A4%E9%85%92/p/BP_107888,parknshop
23-02-2024,BP_409828,THE STAG,THE STAG 莎當妮白酒,75CL,白酒,64,149,None,None,0,https://www.pns.hk/zh-hk/%E8%8E%8E%E7%95%B6%E5%A6%AE%E7%99%BD%E9%85%92/p/BP_409828,parknshop
23-02-2024,BP_409794,CAPE MENTELLE,CAPE MENTELLE 西拉紅酒,75CL,紅酒,188,295,None,None,0,https://www.pns.hk/zh-hk/%E8%A5%BF%E6%8B%89%E7%B4%85%E9%85%92/p/BP_409794,parknshop
23-02-2024,BP_404081,朝日,朝日 ＲＩＣＨ啤酒,350ML,啤酒,14.90,14.90,送贈品,已售100,0,https://www.pns.hk/zh-hk/%EF%BC%B2%EF%BC%A9%EF%BC%A3%EF%BC%A8%E5%95%A4%E9%85%92/p/BP_404081,parknshop
23-02-2024,BP_409726,佳樂事,加州佳樂事 ＤＡＲＫ紅酒,75CL,紅酒,39,69,$68 / 3件,None,0,https://www.pns.hk/zh-hk/%EF%BC%A4%EF%BC%A1%EF%BC%B2%EF%BC%AB%E7%B4%85%E9%85%92/p/BP_409726,parknshop
