date,product_id,brand,product,volume,type,current_price,original_price,discount,sold_quantity,sold_out,url,market_id
24-02-2024,131508,香桐,香桐 Rose Non Vintage 750ML,750ML,玫瑰酒,195.0,195.0,2件$300,,0,https://www.wellcome.com.hk/zh-hant/p/%E9%A6%99%E6%A1%90%20Rose%20Non%20Vintage%20750ML/i/101328268.html,wellcome
24-02-2024,61317,禾富巴斯,禾富巴斯始創人紅酒 750ML,750ML,紅酒,130.0,130.0,指定分類85折,,0,https://www.wellcome.com.hk/zh-hant/p/%E7%A6%BE%E5%AF%8C%E5%B7%B4%E6%96%AF%E5%A7%8B%E5%89%B5%E4%BA%BA%E7%B4%85%E9%85%92%20750ML/i/101335038.html,wellcome
24-02-2024,686428,格蘭堡,格蘭堡GB系列沙當妮 750ML,750ML,白酒,29.0,75.0,指定分類85折,,0,https://www.wellcome.com.hk/zh-hant/p/%E6%A0%BC%E8%98%AD%E5%A0%A1GB%E7%B3%BB%E5%88%97%E6%B2%99%E7%95%B6%E5%A6%AE%20750ML/i/101361495.html,wellcome
24-02-2024,292425,越州,越州廚用紹興酒 500ML,500ML,中國酒,16.0,20.0,,,0,https://www.wellcome.com.hk/zh-hant/p/%E8%B6%8A%E5%B7%9E%E5%BB%9A%E7%94%A8%E7%B4%B9%E8%88%88%E9%85%92%20500ML/i/101355795.html,wellcome
24-02-2024,113951,禾富巴斯,禾富巴斯黃牌系列赤霞珠紅酒原箱 6 X 750ML,750ML,紅酒,255.0,642.0,,,0,https://www.wellcome.com.hk/zh-hant/p/%E7%A6%BE%E5%AF%8C%E5%B7%B4%E6%96%AF%E9%BB%83%E7%89%8C%E7%B3%BB%E5%88%97%E8%B5%A4%E9%9C%9E%E7%8F%A0%E7%B4%85%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/102993581.html,wellcome
24-02-2024,226134,嘉士伯,原箱嘉士伯4罐大罐裝啤酒24 x 500ML,500ML,啤酒,204.0,204.0,,,0,https://www.wellcome.com.hk/zh-hant/p/%E5%8E%9F%E7%AE%B1%E5%98%89%E5%A3%AB%E4%BC%AF4%E7%BD%90%E5%A4%A7%E7%BD%90%E8%A3%9D%E5%95%A4%E9%85%9224%20x%20500ML/i/101333136.html,wellcome
24-02-2024,240010,人頭馬,人頭馬club優質香檳區干邑 1PK,1PK,烈酒,838.0,1008.0,,,0,https://www.wellcome.com.hk/zh-hant/p/%E4%BA%BA%E9%A0%AD%E9%A6%ACclub%E5%84%AA%E8%B3%AA%E9%A6%99%E6%AA%B3%E5%8D%80%E5%B9%B2%E9%82%91%201PK/i/101334063.html,wellcome
24-02-2024,240192,Mg Spirit,Mg Spirit 青檸伏特加 275ML,275ML,烈酒,19.0,19.0,買3送1(加4件入購物車),,0,https://www.wellcome.com.hk/zh-hant/p/Mg%20Spirit%20%E9%9D%92%E6%AA%B8%E4%BC%8F%E7%89%B9%E5%8A%A0%20275ML/i/101322649.html,wellcome
24-02-2024,472506,Yomeishu,Yomeishu 養命酒 1LT,1LT,日本酒,238.0,238.0,,,0,https://www.wellcome.com.hk/zh-hant/p/Yomeishu%20%E9%A4%8A%E5%91%BD%E9%85%92%201LT/i/101343956.html,wellcome
24-02-2024,223164,必富達,必富達氈酒 1LT,1LT,烈酒,232.0,232.0,2件$300,,0,https://www.wellcome.com.hk/zh-hant/p/%E5%BF%85%E5%AF%8C%E9%81%94%E6%B0%88%E9%85%92%201LT/i/101334461.html,wellcome
24-02-2024,759423,健力士,健力士大罐裝生啤 440ML,440ML,啤酒,20.0,20.0,買3送1(加4件入購物車),,0,https://www.wellcome.com.hk/zh-hant/p/%E5%81%A5%E5%8A%9B%E5%A3%AB%E5%A4%A7%E7%BD%90%E8%A3%9D%E7%94%9F%E5%95%A4%20440ML/i/101349207.html,wellcome
24-02-2024,1784,K1664,K1664白啤酒 4 X 330ML,330ML,啤酒,63.0,63.0,2件$85,,0,https://www.wellcome.com.hk/zh-hant/p/K1664%E7%99%BD%E5%95%A4%E9%85%92%20%204%20X%20330ML/i/101351963.html,wellcome
24-02-2024,40121,M.Cellars,M.Cellars Syrah 750ML,750ML,紅酒,80.0,80.0,多重優惠,,0,https://www.wellcome.com.hk/zh-hant/p/M.Cellars%20Syrah%20750ML/i/102945956.html,wellcome
24-02-2024,502211,雲咸,佐治雲咸444赤霞珠紅酒原箱 6 X 750ML,750ML,紅酒,360.0,834.0,,,0,https://www.wellcome.com.hk/zh-hant/p/%E4%BD%90%E6%B2%BB%E9%9B%B2%E5%92%B8444%E8%B5%A4%E9%9C%9E%E7%8F%A0%E7%B4%85%E9%85%92%E5%8E%9F%E7%AE%B1%206%20X%20750ML/i/113277719.html,wellcome
24-02-2024,520148,白雪,白雪上撰清酒-小辛口 2LT,2LT,日本酒,115.0,115.0,,,0,https://www.wellcome.com.hk/zh-hant/p/%E7%99%BD%E9%9B%AA%E4%B8%8A%E6%92%B0%E6%B8%85%E9%85%92-%E5%B0%8F%E8%BE%9B%E5%8F%A3%202LT/i/101339106.html,wellcome
